2021-10-24 11:37:08,139,BT1             ,BT2             ,TT1             ,TT2             ,AT              ,X               ,Y               ,Z               ,BP1             ,BP2             ,TP1             ,TP2             ,HP              ,AP              ,PD ,PC ,HL   ,EL   ,BF   ,SF   ,PF   ,BV     ,rpm             ,State ,MissionState ,Setpoint ,Error ,Depth 
2021-10-24 11:37:08,140,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (0/5) ,Buffering (1/5) ,0  ,0  ,None ,None ,None ,None ,None ,168.35 ,Buffering (0/1) ,INIT  ,IDLE         ,None     ,None  ,None  
2021-10-24 11:37:13,731,Buffering (3/5) ,Buffering (3/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (1/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,1.44 ,100.00 ,0  ,0  ,0  ,None ,None ,168.63 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,None  
2021-10-24 11:37:14,240,Buffering (4/5) ,Buffering (4/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (2/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,168.65 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,None  
2021-10-24 11:37:14,799,24.52 ,-42.28 ,Buffering (4/5) ,Buffering (4/5) ,24.50 ,Buffering (3/5) ,Buffering (3/5) ,Buffering (3/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,9279.08 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,168.71 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,None  
2021-10-24 11:37:15,361,24.52 ,-42.27 ,24.38 ,24.45 ,24.50 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.23 ,11.44 ,10.21 ,10.45 ,1174.44 ,9278.22 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,168.79 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.83 
2021-10-24 11:37:15,857,24.60 ,24.02 ,24.07 ,24.16 ,24.53 ,Buffering (4/5) ,Buffering (4/5) ,Buffering (4/5) ,11.23 ,11.44 ,10.20 ,10.45 ,1174.46 ,9275.54 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,168.75 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.83 
2021-10-24 11:37:16,385,24.60 ,24.02 ,24.07 ,24.17 ,24.53 ,-0.01 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.34 ,9275.16 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,168.82 ,Buffering (0/1) ,WAIT_FOR_SENSOR_BUFFER ,IDLE         ,None     ,None  ,10.83 
2021-10-24 11:37:16,946,24.60 ,24.02 ,24.06 ,24.16 ,24.53 ,-0.01 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.30 ,9274.72 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,168.88 ,Buffering (0/1) ,CALIBRATE_DEPTH_SENSORS ,IDLE         ,None     ,None  ,10.83 
2021-10-24 11:37:17,455,24.60 ,24.02 ,24.06 ,24.16 ,24.53 ,-0.01 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.32 ,9274.34 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,168.91 ,Buffering (0/1) ,CALIBRATE_DEPTH_SENSORS ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:18,002,24.60 ,24.01 ,24.05 ,24.16 ,24.53 ,-0.02 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.36 ,9274.00 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,168.97 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:18,507,24.60 ,24.02 ,24.04 ,24.17 ,24.53 ,-0.02 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.44 ,9273.44 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.04 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:19,034,24.59 ,24.01 ,24.03 ,24.17 ,24.53 ,-0.01 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.46 ,1174.48 ,9273.10 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.00 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:19,524,24.59 ,24.01 ,24.02 ,24.17 ,24.53 ,-0.01 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.42 ,9272.68 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.09 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:20,061,24.59 ,24.02 ,24.02 ,24.17 ,24.53 ,-0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.40 ,9272.44 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.03 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:20,566,24.59 ,24.02 ,24.02 ,24.16 ,24.53 ,-0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.20 ,9272.08 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.15 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:21,093,24.59 ,24.02 ,24.02 ,24.16 ,24.53 ,0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1173.98 ,9271.88 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.14 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:21,606,24.58 ,24.02 ,24.02 ,24.16 ,24.53 ,0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1173.94 ,9271.58 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.13 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:22,137,24.59 ,24.02 ,24.03 ,24.16 ,24.53 ,-0.00 ,0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.46 ,1173.96 ,9271.30 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.23 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:22,624,24.59 ,24.02 ,24.03 ,24.15 ,24.53 ,-0.00 ,0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.46 ,1174.10 ,9270.86 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.25 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:23,148,24.59 ,24.02 ,24.03 ,24.15 ,24.53 ,0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.16 ,9270.64 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.26 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:23,721,24.59 ,24.02 ,24.03 ,24.14 ,24.53 ,0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.46 ,1174.30 ,9270.24 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.35 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:24,267,24.59 ,24.02 ,24.04 ,24.14 ,24.53 ,-0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.46 ,1174.42 ,9269.82 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.37 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:24,776,24.59 ,24.02 ,24.04 ,24.14 ,24.53 ,-0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.46 ,1174.34 ,9269.52 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.39 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:25,302,24.59 ,24.02 ,24.05 ,24.14 ,24.53 ,-0.00 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.46 ,1174.22 ,9269.26 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.39 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:25,812,24.59 ,24.02 ,24.05 ,24.14 ,24.53 ,-0.00 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.26 ,9268.88 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.46 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:26,353,24.59 ,24.01 ,24.05 ,24.14 ,24.53 ,0.00 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.04 ,9268.58 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.50 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:26,869,24.59 ,24.01 ,24.04 ,24.14 ,24.53 ,0.00 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.04 ,9268.18 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.57 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:27,386,24.58 ,24.01 ,24.04 ,24.15 ,24.53 ,0.01 ,-0.02 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.12 ,9267.82 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.57 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:27,894,24.58 ,24.01 ,24.03 ,24.15 ,24.53 ,0.01 ,-0.02 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.14 ,9267.44 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.58 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:28,423,24.58 ,24.01 ,24.02 ,24.16 ,24.53 ,0.00 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.32 ,9267.04 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.66 ,Buffering (0/1) ,WAIT_FOR_WATER ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:28,968,24.58 ,24.01 ,24.02 ,24.16 ,24.53 ,0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.50 ,9266.74 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.65 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:29,475,24.57 ,24.01 ,24.02 ,24.16 ,24.53 ,0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.38 ,9266.46 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.72 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:30,001,24.57 ,24.01 ,24.02 ,24.16 ,24.53 ,0.00 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.32 ,9266.16 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.73 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:30,508,24.57 ,24.01 ,24.02 ,24.17 ,24.53 ,0.00 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.38 ,9265.80 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.77 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:31,037,24.57 ,24.01 ,24.02 ,24.16 ,24.53 ,-0.00 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.16 ,9265.58 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.78 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:31,544,24.57 ,24.01 ,24.01 ,24.16 ,24.53 ,-0.00 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.18 ,9265.26 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.82 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:32,069,24.57 ,24.01 ,24.01 ,24.16 ,24.53 ,-0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.28 ,9264.94 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.88 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:32,577,24.57 ,24.01 ,24.01 ,24.15 ,24.53 ,-0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.36 ,9264.58 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.91 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:33,100,24.57 ,24.01 ,24.01 ,24.15 ,24.53 ,0.01 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.40 ,9264.28 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.92 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:33,608,24.57 ,24.01 ,24.01 ,24.15 ,24.53 ,0.01 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.54 ,9263.90 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,169.97 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:34,131,24.57 ,24.01 ,24.00 ,24.15 ,24.53 ,0.01 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.52 ,9263.46 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.04 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:34,639,24.57 ,24.01 ,24.00 ,24.15 ,24.53 ,0.01 ,-0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.42 ,9263.16 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.03 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:35,165,24.57 ,24.01 ,24.00 ,24.15 ,24.53 ,0.01 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.36 ,9262.90 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.04 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:35,673,24.57 ,24.01 ,24.01 ,24.15 ,24.53 ,0.01 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.28 ,9262.58 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.08 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:36,201,24.57 ,24.01 ,24.01 ,24.15 ,24.53 ,0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.16 ,9262.38 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.07 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:36,709,24.57 ,24.00 ,24.02 ,24.14 ,24.53 ,0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.14 ,9262.10 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.19 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:37,237,24.57 ,24.00 ,24.02 ,24.14 ,24.53 ,0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.22 ,9261.86 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.16 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:37,748,24.57 ,24.00 ,24.02 ,24.14 ,24.53 ,0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.30 ,9261.50 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.20 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:38,276,24.57 ,24.00 ,24.02 ,24.14 ,24.53 ,-0.01 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.34 ,9261.20 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.24 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:38,786,24.57 ,24.00 ,24.02 ,24.14 ,24.53 ,-0.01 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.50 ,9260.78 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.26 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:39,313,24.57 ,24.00 ,24.02 ,24.14 ,24.52 ,-0.01 ,0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.58 ,9260.58 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.26 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:39,822,24.57 ,24.00 ,24.01 ,24.14 ,24.52 ,-0.01 ,0.01 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.60 ,9260.20 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.35 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:40,350,24.57 ,24.01 ,24.01 ,24.14 ,24.53 ,-0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.46 ,9259.82 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.42 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:40,858,24.57 ,24.00 ,24.01 ,24.14 ,24.53 ,-0.00 ,0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.38 ,9259.52 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.39 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:41,382,24.56 ,24.01 ,24.00 ,24.14 ,24.53 ,0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.30 ,9259.24 ,1.43 ,100.00 ,0  ,0  ,0  ,None ,None ,170.43 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
2021-10-24 11:37:41,891,24.56 ,24.01 ,24.00 ,24.14 ,24.53 ,0.00 ,-0.00 ,0.00 ,11.23 ,11.44 ,10.20 ,10.45 ,1174.24 ,9258.96 ,1.44 ,100.00 ,0  ,0  ,0  ,None ,None ,170.43 ,Buffering (0/1) ,WAIT_TASK ,IDLE         ,None     ,None  ,0.00  
